x,y,color
79.40828883263248,152.8344238267352,0
98.04626262648556,186.9107004473805,0
240.57897871157888,48.47368390315306,1
109.68718315747228,277.94576914699053,0
249.62608202973632,229.75335243547173,1
100.7846999022866,281.9834915570912,0
235.3302284108093,109.53973974862691,1
262.35201641365506,64.57463208572932,1
76.55886415810781,204.2958429220136,0
245.55799410834155,134.50199833817595,1
77.63620971582323,276.3744288428442,0
271.9710914833439,179.42881388196048,1
104.6974811220976,133.67144236686462,0
85.46275741166298,235.56492378547424,0
112.96618986481296,316.2522878813427,0
230.44503996035328,80.37598947582806,1
267.1076022957829,227.29248272207403,1
221.91492290585327,172.99027915746092,1
260.23753770666497,295.33742515126704,1
84.19446405672677,236.1113076549514,0
254.22079723564104,106.8700877532044,1
129.53845101701762,260.54777205504314,0
126.0935881419958,185.6223961406036,0
275.999362838969,139.6895266719426,1
76.1794561305078,328.75449902465783,0
136.94451343735275,211.8044632944228,0
114.87036283353622,177.06206220436732,0
149.2489679944091,216.4248735803648,0
94.06968973672538,247.12858901807053,0
258.92089076092367,160.90469451689512,1
269.7548652280775,180.83041976659425,1
101.0318245476664,302.1833275302836,0
232.9396848171716,139.13327894661433,1
85.93550279834696,190.6008995169664,0
291.33330750724474,101.14467781926328,1
63.9972728672364,258.5060444461786,0
111.92527380298988,292.13890730078583,0
108.72642874025992,219.118735229624,0
236.8551842967996,135.249238769706,1
100.47222900100962,282.68560364116814,0
84.05968032874655,244.3149711741096,0
112.9724259781071,85.4598254782839,0
124.81489580569306,134.98623776466238,0
94.24452148634305,171.23988280758468,0
292.07140558081744,128.5062779826302,1
106.6780571988304,171.08713408086825,0
235.069286604899,107.86620896429751,1
129.4889909380549,170.35418643671582,0
94.3546783055193,231.4283339464573,0
135.02760511123688,170.59489949009526,0
84.87633848187738,159.49814472978113,0
227.42807390584363,166.29718875691742,1
283.9467375443717,120.0463240488934,1
302.8523300748568,88.88155995977885,1
148.6640427670092,224.04651147842185,0
255.6226489073024,83.280447218644,1
291.1782006227223,101.73479945321846,1
132.22984206864697,252.887052292134,0
216.49159311361112,108.38668164443702,1
