,x,y,color
0,196.880523178288,247.74470838373549,1
1,88.42627127108773,233.9624245533942,1
2,118.57878881545804,264.0441883665186,1
3,249.57249037913533,260.89652128516275,0
4,229.3465505394653,202.47088499100363,0
5,89.3447634828494,181.74542834353693,1
6,105.53439136547848,234.49936023213027,1
7,80.4144720384439,248.437306766974,1
8,138.04098231964306,165.97981535056635,1
9,278.53854424079145,240.7873846107712,0
10,217.79343738857708,266.3670392733256,0
11,309.0802552753351,203.70768252317148,0
12,274.7620970545024,181.1789148832154,0
13,199.3015611543981,206.43974915928567,1
14,254.01305478467884,246.15533163302248,0
15,181.0616566199986,293.5748594223181,1
16,273.5617415704138,257.7429426094125,0
17,249.8937343405931,206.1218302791992,0
18,81.26747081525878,313.0168880265649,1
19,261.32735572656696,204.8142368941569,0
20,229.1847659535269,208.41131081603305,0
21,154.44048791741795,273.77484467702664,1
22,321.0412245635182,234.57782143990863,0
23,265.9812576825503,257.95186094469113,0
24,207.3160394970106,265.91422006686366,0
25,181.6448808776685,263.1594217423637,1
26,241.7849897893007,220.3646122439364,0
27,130.32464685892597,245.8410434784966,1
28,126.8012227408445,265.3725429388913,1
29,229.06432226868984,264.64994853123267,0
30,237.1912760584308,211.2952293104702,0
31,153.21493098662918,288.03433611094067,1
32,96.22218772317234,249.21919409851304,1
33,272.23442437466485,262.53883317164923,0
34,232.8616508642615,240.0691707706439,0
35,111.3862944769034,254.57586161972267,1
36,137.0130863222607,193.8711753032353,1
37,265.54057967974825,192.75951076491447,0
38,261.9657840622482,300.956971505288,0
39,144.23077052430662,291.0290352039248,1
40,231.38428190910108,209.57161653306764,0
41,95.3471687641851,267.652647758297,1
42,228.4507425708036,264.6419909490808,0
43,273.8890409553824,263.02932088366714,0
44,243.3847593262525,199.27420441574608,0
45,116.36979115706232,197.4314582459033,1
46,215.8377105960793,215.8087111247865,0
47,209.0339068640152,220.590760526233,1
48,114.6966938950328,298.94886146925205,1
49,251.53732413070856,209.3814155960956,0
50,174.5301019996244,226.49702430309145,1
51,86.46994427346463,213.416383953056,1
52,139.79006632818994,258.0112179954132,1
53,280.209442541563,166.38882970727917,0
54,177.94595273745497,173.7419136794249,1
55,201.17773354205417,242.29426997331407,0
56,211.9362171447741,193.04149229863464,1
57,263.2645266363461,222.558415447988,0
58,200.4031316823988,271.2919813586414,0
59,275.34883491666267,257.9226804342616,0
60,264.60569214306605,231.7070409995416,0
61,137.17670628481844,185.4563958907318,1
62,229.7950500583165,182.15776168778729,0
63,246.46345701859647,197.83501848724376,0
64,162.7842027473216,314.59053460712335,1
65,218.4638728617945,213.67512551477424,0
66,305.78464463938394,277.4613018243916,0
67,159.41994943595424,229.04392342984903,1
68,170.1677833535678,259.2216272149846,1
69,267.9445090495478,246.2803416651257,0
70,229.74718951322308,285.4224426933382,0
71,133.6645445512023,220.1949963546133,1
72,263.2358952417111,165.67999403081942,0
73,153.4181036287947,216.30422566407617,1
